Clase;Lote;Fecha_de_Creacion;UMB;Centro;Desc_Centro;Almacen;Desc_Alm;Material;Desc_Mat;Vol_Util;Vol_Tran;Bloqueado;Jerarquia;Desc_Jer;Grpo_Art;Descrip_Grpo_Art;Clasedevaloracion;M3;STATUS;NRO_ENTREGA;POS_ENTREGA;FCH_CREACION;DEFECTO;ESP_REAL_MM;ANC_REAL_MM
TA_PLYWOOD;1001557801;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557802;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557804;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557806;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557812;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557817;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557819;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001558462;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001558464;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001558868;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001558870;00000000;M3;TA01;PlantaTerciados-Arauco;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;;;;;;;;
TA_PLYWOOD;1001557723;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001556509;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001402583;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001404432;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001440447;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802940775;000001;;;;;
TA_PLYWOOD;1001447754;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802940775;000001;;;;;
TA_PLYWOOD;1001447757;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802940775;000001;;;;;
TA_PLYWOOD;1001449944;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802940775;000001;;;;;
TA_PLYWOOD;1001524975;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975564;000003;;;;;
TA_PLYWOOD;1001524976;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975564;000003;;;;;
