Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MSC GENEVA,2013-01-07,802912410,4,4.132,M3,504212,2012-12-26,2013-01-07,C,MOL CASING 233 PP DY 4880x70x18
MSC KYOTO,2012-12-27,802912415,1,9.378,M3,504628,2012-12-26,2012-12-26,C,MOL CROWN 201 PP 4880x143x20
MSC KYOTO,2012-12-27,802912415,2,16.835,M3,504630,2012-12-26,2012-12-26,C,MOL CROWN 221 PP DY 4880x184x25
MSC KYOTO,2012-12-27,802912415,3,7.468,M3,504213,2012-12-26,2012-12-26,C,MOL CASING 234 PP DY 4880x92x18
MSC KYOTO,2012-12-27,802912415,4,7.172,M3,504214,2012-12-26,2012-12-26,C,MOL CASING 235 PP 4880x108x18
MSC KYOTO,2012-12-27,802912421,1,12.384,M3,503843,2012-12-26,2012-12-26,C,MOL BASE 425 PP 4880x89x18
MSC KYOTO,2012-12-27,802912421,2,14.348,M3,747254,2012-12-26,2012-12-26,C,MOL BASE 612 PP DY 4880x210x25/HC
MSC KYOTO,2012-12-27,802912421,3,13.388,M3,504797,2012-12-26,2012-12-26,C,"MOL CROWN 615 PP DY 4880x190,5x30"
MSC KYOTO,2012-12-27,802912888,1,18.588,M3,738582,2012-12-25,2012-12-22,C,MOL BASE 163E PP BFS 4880x184x15
MSC KYOTO,2012-12-27,802912888,2,17.994,M3,738583,2012-12-25,2012-12-22,C,MOL BASE 163E PP BFS 4880x133x15
MSC KYOTO,2012-12-27,802912891,1,19.362,M3,742583,2012-12-25,2012-12-22,C,MOL BASE 623 PP BFS 4880x82x12
MSC KYOTO,2012-12-27,802912891,2,17.994,M3,738583,2012-12-25,2012-12-22,C,MOL BASE 163E PP BFS 4880x133x15
MSC KYOTO,2012-12-27,802912896,1,35.497,M3,742583,2012-12-25,2012-12-22,C,MOL BASE 623 PP BFS 4880x82x12
MSC GENEVA,2013-01-07,802912899,1,35.988,M3,738583,2012-12-25,2013-01-07,C,MOL BASE 163E PP BFS 4880x133x15
MSC KYOTO,2012-12-27,802912990,1,3.012,M3,706387,2012-12-30,2013-01-02,C,"MOL BASE M0661A PP M&M 4880x285,75x15"
MSC KYOTO,2012-12-27,802912990,2,21.07,M3,504984,2012-12-30,2013-01-02,C,MOL S4S E2E PP M&M 4880x89x18
MSC KYOTO,2012-12-27,802912990,3,6.06,M3,503720,2012-12-30,2013-01-02,C,MOL BASE 163E PP M&M 4880x184x15
MSC KYOTO,2012-12-27,802912990,4,8.256,M3,802323,2012-12-30,2013-01-02,C,MOL CASING 99M PP M&M 4880x89x18/HC528
MSC KYOTO,2012-12-27,802912990,5,3.352,M3,504290,2012-12-30,2013-01-02,C,MOL CASING 356 PP M&M 2135x57x15
MSC KYOTO,2012-12-27,802912996,1,22.896,M3,503719,2012-12-30,2012-12-22,C,MOL BASE 163E PP SD 4880x133x15
MSC KYOTO,2012-12-27,802912996,2,7.88,M3,504216,2012-12-30,2012-12-22,C,MOL CASING 24112 CA PP M&M 4880x89x18
MSC KYOTO,2012-12-27,802912996,3,8.512,M3,504479,2012-12-30,2012-12-22,C,MOL CASING 9053M PP M&M 4880x114x25
MSC KYOTO,2012-12-27,802912996,4,2.886,M3,505089,2012-12-30,2012-12-22,C,MOL STOP 947 PP M&M 2135x32x11
MSC KYOTO,2012-12-27,802913004,1,27.32,M3,503725,2012-12-30,2013-01-02,C,MOL BASE 20136 PP M&M 4880x108x15
MSC KYOTO,2012-12-27,802913004,2,4.124,M3,681882,2012-12-30,2013-01-02,C,"MOL CASING M0311J PP M&M 4880x88,9x18"
MSC KYOTO,2012-12-27,802913004,3,9.686,M3,533631,2012-12-30,2013-01-02,C,"MOL CHRAIL 308A PP M&M 4880x82,7x25"
MSC KYOTO,2012-12-27,802913004,4,3.352,M3,504290,2012-12-30,2013-01-02,C,MOL CASING 356 PP M&M 2135x57x15
MSC INGRID,2013-01-01,802913010,1,18.594,M3,504976,2012-12-30,2013-01-02,C,MOL S4S E2E PP M&M 4880x140x18
MSC INGRID,2013-01-01,802913010,2,8.256,M3,504218,2012-12-30,2013-01-02,C,MOL CASING 24112CCA PP M&M 4880x89x18
MSC INGRID,2013-01-01,802913010,3,13.404,M3,504299,2012-12-30,2013-01-02,C,MOL CASING 356 PP M&M 4270x57x15
MSC INGRID,2013-01-01,802913010,4,3.352,M3,504290,2012-12-30,2013-01-02,C,MOL CASING 356 PP M&M 2135x57x15
MSC GENEVA,2013-01-07,802913014,1,22.897,M3,503727,2012-12-30,2013-01-09,C,MOL BASE 20168CB PP M&M 4880x133x15
MSC GENEVA,2013-01-07,802913014,2,7.184,M3,504638,2012-12-30,2013-01-09,C,MOL CROWN 32242 PP M&M 4880x184x20
MSC GENEVA,2013-01-07,802913014,3,11.364,M3,503841,2012-12-30,2013-01-09,C,MOL BASE 420 PP M&M 4880x70x18
MSC GENEVA,2013-01-07,802913014,4,2.886,M3,505089,2012-12-30,2013-01-09,C,MOL STOP 947 PP M&M 2135x32x11
MSC KYOTO,2012-12-27,802913022,1,38.796,M3,503729,2012-12-30,2012-12-26,C,MOL BASE 20232CB PP M&M 4880x184x15
MSC KYOTO,2012-12-27,802913028,1,17.9,M3,504336,2012-12-30,2012-12-26,C,"MOL CASING 366 PP M&M 4270x57,5x15"
MSC KYOTO,2012-12-27,802913028,2,10.728,M3,504335,2012-12-30,2012-12-26,C,"MOL CASING 366 PP M&M 2160x57,5x15"
MSC KYOTO,2012-12-27,802913028,3,20.445,M3,504832,2012-12-30,2012-12-26,C,MOL CROWN BCR20168 PP M&M 4880x133x15
MSC GENEVA,2013-01-07,802913033,1,20.262,M3,504219,2012-12-30,2013-01-07,C,MOL CASING 24112PCA PP M&M 4880x89x18
MSC GENEVA,2013-01-07,802913033,2,21.78,M3,504422,2012-12-30,2013-01-07,C,MOL CASING 445M PP M&M 2440x82x18
MSC KYOTO,2012-12-27,802913037,1,38.028,M3,503910,2012-12-30,2012-12-22,C,MOL BASE 623 PP M&M 4880x82x12
MSC AUSTRIA,2013-01-17,802913044,1,17.215,M3,504975,2012-12-30,2013-01-16,A,MOL S4S E2E PP M&M 4880x140x15
MSC AUSTRIA,2013-01-17,802913044,2,8.49,M3,504547,2012-12-30,2013-01-16,A,MOL CASING MFP172 PP M&M 4880x82x17
MSC AUSTRIA,2013-01-17,802913044,3,5.9,M3,731452,2012-12-30,2013-01-16,A,MOL STOP 887 PP M&M 2287x30x12
MSC AUSTRIA,2013-01-17,802913044,4,5.772,M3,505089,2012-12-30,2013-01-16,A,MOL STOP 947 PP M&M 2135x32x11
MSC AUSTRIA,2013-01-17,802913044,5,9.078,M3,504447,2012-12-30,2013-01-16,A,MOL CASING 520Y PP M&M 4880x89x25
CSAV SUAPE,2013-01-18,802914154,1,16.064,M3,929828,2012-12-29,2013-01-16,A,MOL STOP 333 PP 2135x35x12/1120
CSAV SUAPE,2013-01-18,802914154,2,19.488,M3,929827,2012-12-29,2013-01-16,A,MOL STOP 333 PP 2590x35x12/1120
MSC LORENA,2013-01-25,802914476,1,46.044,M3,797613,2012-12-29,2013-01-25,A,"MOL CASING 424A PP KH 5185x63x14,5/HC810"
MSC LISA,2012-12-29,802914482,1,43.443,M3,723514,2012-12-29,2012-12-30,C,"MOL CASING 424DPK35 PP KH 2135x63x14,5"
MSC ROMANOS,2013-01-14,802914485,1,43.443,M3,723514,2012-12-29,2013-01-07,A,"MOL CASING 424DPK35 PP KH 2135x63x14,5"
MSC ELENI,2012-12-25,802914492,1,43.488,M3,743113,2012-12-29,2012-12-21,C,MOL BASE 83A PP KH 4880x102x14
MSC LISA,2012-12-29,802914495,1,43.488,M3,743113,2012-12-29,2012-12-26,C,MOL BASE 83A PP KH 4880x102x14
